指标名称,PCA1,PCA2,PCA3
2006-09-30,-64002.97326107213,-0.643430537065314,-4.8151283347322416
2006-10-31,-56979.51931324145,-0.7847413851708754,-3.4029965845093106
2006-11-30,-56800.136508564174,-0.15163739461560272,-2.6743635996638835
2006-12-31,-55761.26449738069,1.1201602383344509,-3.0198549655202838
2007-01-31,-62331.394477163056,0.2722951497010822,-2.884605921420613
2007-02-28,-61683.35954107825,0.6850483903387504,-1.9036744697519061
2007-03-31,-62500.991794185364,1.5329134789721193,-1.7203667460870378
2007-04-30,-54919.94071290018,1.108980934655435,-1.8330102768767227
2007-05-31,-55348.1117018739,1.527323827132611,-1.6940576531854281
2007-06-30,-55155.28620723833,2.793531808243157,-1.3459353780388676
2007-07-31,-50589.22620897991,4.489261985509896,-1.443981334117123
2007-08-31,-50542.46123593927,5.687609368487415,-1.7632020106479376
