时间,BL,Market
2017-12-05,105.29454883960771,113.6386131469999
2017-12-06,105.21974616833538,113.36726116307348
2017-12-07,105.16355530835216,112.92522805886817
2017-12-08,105.26761149402486,113.49955214672451
2017-12-11,105.42753400057214,114.3952019810089
2017-12-12,105.2597208434106,113.54816087335968
2017-12-13,105.35489926323676,114.10318175922987
2017-12-14,105.3315035696397,114.05061006253004
2017-12-15,105.29597514685918,113.53334288020798
2017-12-18,105.3725399266549,113.60625468376786
2017-12-19,105.41350068850508,114.07777093790202
2017-12-20,105.33998183615469,113.67918145119937
2017-12-21,105.34259564304122,113.97618335577036
2017-12-22,105.37535486179212,114.14999103390161
2017-12-25,105.40312503887708,113.79989538926768
2017-12-26,105.42855763157937,114.09850771302143
2017-12-27,105.33894008835532,113.68836226115933
2017-12-28,105.53768110478623,114.53519319434517
2017-12-29,105.49162027087735,114.49309186056063
2018-01-02,105.80766621632067,115.73912331354617
2018-01-03,105.98298460385635,116.50019961375446
2018-01-04,106.07474883315211,117.07183663349959
2018-01-05,106.16672592513747,117.20581983201488
2018-01-08,106.31036773305087,117.87403077651777
2018-01-09,106.39449703630466,118.00102623343423
2018-01-10,106.29583223085442,117.72363172807465
2018-01-11,106.22675715927873,117.60193778527848
2018-01-12,106.2481857429621,117.60965355590128
2018-01-15,106.14363364227218,116.51946305166503
2018-01-16,106.19555753460371,116.98861889900351
2018-01-17,106.1627693885282,116.86633886802638
2018-01-18,106.09493208704524,117.14201584900098
2018-01-19,106.12576498907178,117.30549509397783
2018-01-22,106.31326576231683,118.05186125325939
2018-01-23,106.43183826298423,118.66072856949425
2018-01-24,106.44431823321412,118.7331312750452
2018-01-25,106.6546616205268,119.27682057818696
2018-01-26,106.67605204565757,119.31328173218347
2018-01-29,106.57309246677133,118.49617566139703
2018-01-30,106.35352678855341,117.63877130056915
2018-01-31,106.4514541549207,117.3158794399204
2018-02-01,106.06444838441718,115.24281915191088
2018-02-02,106.189051336035,115.92138940965188
2018-02-05,106.0623028958225,115.68064398539093
2018-02-06,105.64129258776009,112.47208035890112
2018-02-07,105.52888414904153,111.50403521574597
2018-02-08,105.41343535307625,110.92151793044494
2018-02-09,104.78670612252134,107.44868045091225
2018-02-12,105.03622703616895,108.59096024018609
2018-02-13,105.13139069157089,109.11356338069393
2018-02-14,105.32830114083023,109.81895813922353
2018-02-22,105.74049703904673,111.47931346104625
2018-02-23,105.87840441768242,111.9892808584816
2018-02-26,106.21893649694047,113.22239501305393
2018-02-27,106.14039753671823,112.37879569314447
2018-02-28,106.06569114707618,111.89385183897542
2018-03-01,106.2362357713254,112.43110262454677
2018-03-02,106.28143636867978,112.16756975252937
2018-03-05,106.22798133192255,111.94837326335916
2018-03-06,106.34591026429968,112.74378358614652
2018-03-07,106.23845845337823,112.073246438816
2018-03-08,106.54575583534196,113.05772264816372
2018-03-09,106.585203462856,113.48639493843268
2018-03-12,106.73566350364597,114.37688460052524
2018-03-13,106.68888043631132,114.01075704902541
2018-03-14,106.66709860306469,113.81086811749668
2018-03-15,106.66457555307336,113.76900118830406
2018-03-16,106.65024119586666,113.2899378699066
2018-03-19,106.64221564143787,113.22541434175966
2018-03-20,106.74785903134895,113.56185753173087
2018-03-21,106.82286557225278,113.38676892471243
2018-03-22,106.7122808812627,112.75420312637272
2018-03-23,106.71449663729497,110.25785363509777
2018-03-26,106.8804365818765,110.527340623173
2018-03-27,107.09716704841074,111.8069812274486
2018-03-28,106.86708455133575,110.46769964988037
2018-03-29,106.79415130057517,110.96929947587064
2018-03-30,107.01288909535229,111.44201082197394
2018-04-02,107.23465634241609,111.6334938459725
2018-04-03,107.27158064338997,111.11582044615903
2018-04-04,107.4166941517475,111.1077084597557
2018-04-09,107.69007817783687,111.27351960601494
2018-04-10,107.72829476440606,112.07064183059437
2018-04-11,107.89612604469826,112.63823948825875
2018-04-12,107.8590749540847,112.15121748190533
2018-04-13,107.76184478894015,111.58914569627075
2018-04-16,107.69726830371378,110.69952316851597
2018-04-17,107.57918634427853,109.49862405139447
2018-04-18,107.94905528781923,109.71742197224926
2018-04-19,108.04392358397624,110.52236857925494
2018-04-20,107.86886151241089,109.20235832093765
2018-04-23,107.70411694525943,109.09209629189769
2018-04-24,107.8635657887173,110.36709373587279
2018-04-25,107.88056172164791,110.35045329277224
2018-04-26,107.62397775041038,109.12917528610635
2018-04-27,107.63432633953617,109.33565185074863
2018-05-02,107.64469993041932,109.29060495797269
2018-05-03,107.67862882396544,109.67863698575539
2018-05-04,107.7388801063839,109.80004862531337
2018-05-07,107.90040335337396,110.97491902883196
2018-05-08,107.94095121372192,111.54861094888275
2018-05-09,107.86813901020003,111.42781576075531
2018-05-10,108.0235855370437,112.03464001722357
2018-05-11,107.90967172775,111.60047085646549
2018-05-14,107.93389167731182,111.74174813680457
2018-05-15,107.91657924422707,112.23127170294036
2018-05-16,107.82348297299806,111.87407516280423
2018-05-17,107.71152993424936,111.54488161612521
2018-05-18,107.90669246092008,112.45598177801087
2018-05-21,108.04724513014395,113.05648416044991
2018-05-22,108.12835909526575,113.24526975230577
2018-05-23,108.01559404887533,112.13375524943191
2018-05-24,108.1360559949297,112.04210851369653
2018-05-25,108.13644783478907,111.60927706494779
2018-05-28,108.10928135418641,111.33083132684804
2018-05-29,108.03012800249864,110.77218891293047
2018-05-30,107.94764425347627,109.21279486526379
2018-05-31,108.08454432803967,110.4447546605739
2018-06-01,107.94521940886783,109.78668819232942
2018-06-04,107.95983012509703,109.87081343049138
2018-06-05,108.01887153515956,110.67445588333977
2018-06-06,108.13906633676096,111.04977528445043
2018-06-07,108.03910859251096,110.75448356677296
2018-06-08,107.68491808275587,109.45564166595932
2018-06-11,107.71501013562373,109.2736500249405
2018-06-12,107.84403866164169,110.10879382379277
2018-06-13,107.66562747842005,109.13130766234684
2018-06-14,107.58717009476855,108.79019127098597
2018-06-15,107.41675061661822,107.8439324307827
2018-06-19,106.89723480608563,104.1546983605787
2018-06-20,106.95186842780346,104.52807998413311
2018-06-21,106.75578735801348,103.42868617411183
2018-06-22,106.83731732425323,104.01000344451674
2018-06-25,106.75397897204579,103.34938683545309
2018-06-26,106.69229218427407,103.08028646366118
2018-06-27,106.58944572319027,102.29660672766192
2018-06-28,106.53917554794741,101.61817081948479
2018-06-29,106.98906955727401,103.34647013236147
2018-07-02,106.9020381185499,102.01959129283091
2018-07-03,106.90276427523627,102.1578247914906
2018-07-04,106.89764950636642,101.65121685103489
2018-07-05,106.81112092138278,100.51246117349532
2018-07-06,106.82690273353133,100.73492107193478
2018-07-09,107.10760375263779,102.31762245590564
2018-07-10,107.03483304185022,102.64481783375734
2018-07-11,106.72570623994284,101.1982102502316
2018-07-12,106.97124132085459,102.63600251842773
2018-07-13,106.99424656770427,102.81827606263789
