Date,RP,Market
2016-09-05,103.18591909143211,107.70442987008818
2016-09-06,103.2883697046049,108.48443911204062
2016-09-07,103.29750420281269,108.54856259119283
2016-09-08,103.35721623033432,108.71821133358223
2016-09-09,103.34904990796872,108.1824491043849
2016-09-12,103.10194297918261,106.02929218537369
2016-09-13,103.1446646538684,106.23696889552075
2016-09-14,103.11731457460967,105.87101694745667
2016-09-19,103.3582596011256,106.72980844622306
2016-09-20,103.39804077320353,106.73810935487002
2016-09-21,103.4118726281477,106.95795711273067
2016-09-22,103.47784990328381,107.37204072648359
2016-09-23,103.49080409343057,107.20166933549042
2016-09-26,103.38379794422987,105.62201970107242
2016-09-27,103.41959084460291,106.0941972800884
2016-09-28,103.37978412307606,105.84901148182355
2016-09-29,103.42320088193291,106.18807821518202
2016-09-30,103.46195390614996,106.43191649740598
2016-10-10,103.82508959453361,107.8788606935669
2016-10-11,103.9045372310337,108.57766840125853
2016-10-12,103.85393188718668,108.33530847997375
2016-10-13,103.8413283841685,108.23408328998272
2016-10-14,103.96380417670537,108.68950527622619
2016-10-17,103.99972987379648,108.38656589007158
2016-10-18,104.17988864540742,109.59129813057477
2016-10-19,104.19716277252307,109.70354933353657
2016-10-20,104.28287060646606,109.78212746713878
2016-10-21,104.28472447430266,109.66768888330529
2016-10-24,104.46101397581317,110.63491977199679
