时间,SV,Market
2016-09-08,105.52182413946906,108.71821133358223
2016-09-09,105.33947860564493,108.1824491043849
2016-09-12,104.62334644107449,106.02929218537369
2016-09-13,104.61515312688381,106.23696889552075
2016-09-14,104.46377372296855,105.87101694745667
2016-09-19,104.74869701407054,106.72980844622306
2016-09-20,104.56653319263707,106.73810935487002
2016-09-21,104.64107975893924,106.95795711273067
2016-09-22,104.96787964524077,107.37204072648359
2016-09-23,104.82199929860379,107.20166933549042
2016-09-26,103.93251526174798,105.62201970107242
2016-09-27,104.26591684935194,106.0941972800884
2016-09-28,104.24376390053756,105.84901148182355
2016-09-29,104.24681448021724,106.18807821518202
2016-09-30,104.33145537588298,106.43191649740598
2016-10-10,104.91353386605886,107.8788606935669
2016-10-11,104.9816143600943,108.57766840125853
2016-10-12,105.02624717932385,108.33530847997375
2016-10-13,105.26138698494081,108.23408328998272
2016-10-14,105.12311767361709,108.68950527622619
2016-10-17,104.75910799391015,108.38656589007158
2016-10-18,105.23692841350577,109.59129813057477
2016-10-19,105.19894723918175,109.70354933353657
2016-10-20,105.15636814091825,109.78212746713878
2016-10-21,105.24404834916588,109.66768888330529
2016-10-24,105.36609286212841,110.63491977199679
